"...1","screenName","text","created","statusSource","Created_At_Round","tweetSource","date","hour"
606,"korea_odyssey","(15th ld) at least 153 killed, 133 injured in halloweenstampede in seouls itaewon itaewonhalloweenaccident",2022-10-30 22:21:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:21:45,22
607,"pjmjwz","seeing what happened at itaewon made me want to learn cpr and actually be licensed to do it",2022-10-30 22:21:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:21:42,22
608,"MySunshineSUN00","they were seen out in a different area that night not near itaewon",2022-10-30 22:21:41,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:21:41,22
609,"januario_erika","praying for itaewon sending love to everyone who was affected stay strong &lt;3 prayforitaewon",2022-10-30 22:21:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:21:40,22
610,"sxmyeong","the itaewon accident",2022-10-30 22:21:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:21:27,22
611,"28_by_AgustD","my heart goes out to those affected by the incident in itaewon. may those who lost loved ones find strength, who ha",2022-10-30 22:21:25,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:21:25,22
612,"Mooami75","what happend in itaewon is so scary and horrible. this is why it's important for everyone take care of each others",2022-10-30 22:21:18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:21:18,22
613,"krstltwts","my heart breaks for itaewon",2022-10-30 22:21:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:21:05,22
614,"miluvereau","we know of chen's big heart, we understand and patiently wait for him, as well as for the rescheduling",2022-10-30 22:20:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:20:56,22
615,"thvbff","what happened in itaewon was so horrible and scary its really heart crushing to see how many were harmed and how t",2022-10-30 22:20:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:20:46,22
616,"blackpinkslave8","my deepest condolences to all the families who have lost their members because of the itaewon tragedy. i will alway",2022-10-30 22:20:16,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:20:16,22
617,"_moonxzz","de itaewon class",2022-10-30 22:20:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:20:14,22
618,"Scroung48273097","isnt it inappropriate for them to celebrate halloween following the mayhem of itaewon. i think it is.",2022-10-30 22:20:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:20:07,22
